ts_code,symbol,name,area,industry,list_date
SZ000975,000975,银泰黄金,内蒙,黄金,20000608
SZ000976,000976,ST华铁,广东,运输设备,20000601
SZ000977,000977,浪潮信息,山东,IT设备,20000608
SZ000978,000978,桂林旅游,广西,旅游景点,20000518
SZ000980,000980,众泰汽车,浙江,汽车配件,20000616
SZ000981,000981,山子股份,甘肃,汽车配件,20000622
SZ000982,000982,中银绒业,宁夏,电气设备,20000706
SZ000983,000983,山西焦煤,山西,煤炭开采,20000726
SZ000985,000985,大庆华科,黑龙江,化工原料,20000726
SZ000987,000987,越秀资本,广东,多元金融,20000718
SZ000988,000988,华工科技,湖北,专用机械,20000608
SZ000989,000989,九芝堂,湖南,中成药,20000628
SZ000990,000990,诚志股份,江西,化工原料,20000706
SZ000993,000993,闽东电力,福建,水力发电,20000731
SZ000995,000995,皇台酒业,甘肃,白酒,20000807
SZ000996,000996,*ST中期,北京,汽车服务,20000718
SZ000997,000997,新大陆,福建,IT设备,20000807
SZ000998,000998,隆平高科,湖南,种植业,20001211
SZ000999,000999,华润三九,深圳,中成药,20000309
SZ001201,001201,东瑞股份,广东,农业综合,20210428
SZ001202,001202,炬申股份,广东,仓储物流,20210429
SZ001203,001203,大中矿业,内蒙,普钢,20210510
SZ001205,001205,盛航股份,江苏,水运,20210513
SZ001206,001206,依依股份,天津,造纸,20210518
SZ001207,001207,联科科技,山东,化工原料,20210623
SZ001208,001208,华菱线缆,湖南,电气设备,20210624
SZ001209,001209,洪兴股份,广东,服饰,20210723
SZ001210,001210,金房能源,北京,供气供热,20210729
SZ001211,001211,双枪科技,浙江,家居用品,20210805
SZ001212,001212,中旗新材,广东,其他建材,20210823
SZ001213,001213,中铁特货,北京,仓储物流,20210908
SZ001215,001215,千味央厨,河南,食品,20210906
SZ001216,001216,华瓷股份,湖南,家居用品,20211019
SZ001217,001217,华尔泰,安徽,化工原料,20210929
SZ001218,001218,丽臣实业,湖南,化工原料,20211015
SZ001219,001219,青岛食品,山东,食品,20211021
SZ001222,001222,源飞宠物,浙江,文教休闲,20220818
SZ001223,001223,欧克科技,江西,专用机械,20221212
SZ001225,001225,和泰机电,浙江,专用机械,20230222
SZ001226,001226,拓山重工,安徽,工程机械,20220622
SZ001227,001227,兰州银行,甘肃,银行,20220117
SZ001228,001228,永泰运,浙江,仓储物流,20220429
SZ001229,001229,魅视科技,广东,IT设备,20220808
SZ001230,001230,劲旅环境,安徽,环境保护,20220715
SZ001231,001231,农心科技,陕西,农药化肥,20220819
SZ001234,001234,泰慕士,江苏,服饰,20220111
SZ001236,001236,弘业期货,江苏,多元金融,20220805
SZ001238,001238,浙江正特,浙江,家居用品,20220919
SZ001239,001239,永达股份,湖南,工程机械,20231212
SZ001255,001255,博菲电气,浙江,化工原料,20220930
SZ001256,001256,炜冈科技,浙江,轻工机械,20221205
SZ001258,001258,立新能源,新疆,新型电力,20220727
SZ001259,001259,利仁科技,北京,家用电器,20220831
SZ001260,001260,坤泰股份,山东,汽车配件,20230216
SZ001266,001266,宏英智能,上海,电器仪表,20220228
SZ001267,001267,汇绿生态,湖北,建筑工程,20211117
SZ001268,001268,联合精密,广东,机械基件,20220630
SZ001269,001269,欧晶科技,内蒙,矿物制品,20220930
SZ001270,001270,铖昌科技,浙江,半导体,20220606
SZ001278,001278,一彬科技,浙江,汽车配件,20230308
SZ001282,001282,三联锻造,安徽,汽车配件,20230524
SZ001283,001283,豪鹏科技,深圳,电气设备,20220905
SZ001286,001286,陕西能源,陕西,火力发电,20230410
SZ001287,001287,中电港,深圳,元器件,20230410
SZ001288,001288,运机集团,四川,专用机械,20211101
SZ001289,001289,龙源电力,北京,新型电力,20220124
SZ001296,001296,长江材料,重庆,其他建材,20211224
SZ001298,001298,好上好,深圳,元器件,20221031
SZ001299,001299,美能能源,陕西,供气供热,20221031
SZ001300,001300,三柏硕,山东,文教休闲,20221019
SZ001301,001301,尚太科技,河北,电气设备,20221228
SZ001306,001306,夏厦精密,浙江,机械基件,20231116
SZ001308,001308,康冠科技,深圳,元器件,20220318
SZ001309,001309,德明利,深圳,半导体,20220701
SZ001311,001311,多利科技,安徽,汽车配件,20230227
SZ001313,001313,粤海饲料,广东,饲料,20220216
SZ001314,001314,亿道信息,深圳,元器件,20230214
SZ001316,001316,润贝航科,深圳,批发业,20220624
SZ001317,001317,三羊马,重庆,仓储物流,20211130
SZ001318,001318,阳光乳业,江西,乳制品,20220520
SZ001319,001319,铭科精技,广东,汽车配件,20220512
SZ001322,001322,箭牌家居,广东,家居用品,20221026
SZ001323,001323,慕思股份,广东,家居用品,20220623
SZ001324,001324,长青科技,江苏,运输设备,20230522
SZ001326,001326,联域股份,深圳,电气设备,20231109
SZ001328,001328,登康口腔,重庆,日用化工,20230410
SZ001330,001330,博纳影业,新疆,影视音像,20220818
SZ001331,001331,胜通能源,山东,仓储物流,20220908
SZ001332,001332,锡装股份,江苏,专用机械,20220920
SZ001333,001333,光华股份,浙江,化工原料,20221208
SZ001336,001336,楚环科技,浙江,专用机械,20220725
SZ001337,001337,四川黄金,四川,黄金,20230303
SZ001338,001338,永顺泰,广东,啤酒,20221116
SZ001339,001339,智微智能,深圳,IT设备,20220815
SZ001358,001358,兴欣新材,浙江,化工原料,20231221
SZ001360,001360,南矿集团,江西,工程机械,20230410
SZ001366,001366,播恩集团,江西,饲料,20230307
SZ001367,001367,海森药业,浙江,化学制药,20230410
